win/lose,game_mode,game_date,game_duration,champion,role,CS,kills,deaths,assists,Vision Score,KP,Summoner Spell 1,Summoner Spell 2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Ward,KDA,CS/min
Victory,ARAM,2025-02-19,00:28:08,Kai'Sa,Jungle,79,20,13,39,0,75%,Flash,Mark,Nashor's Tooth,Muramana,Shadowflame,Sorcerer's Shoes,Rabadon's Deathcap,Void Staff,None,4.54,2.81
Defeat,ARAM,2025-02-19,00:24:16,Cho'Gath,Adc,50,12,11,20,0,70%,Flash,Mark,Heartsteel,Frozen Heart,Plated Steelcaps,Warmog's Armor,Thornmail,Unending Despair,None,2.91,2.06
Victory,Normal (Draft Pick),2025-02-19,00:31:49,Mel,Mid,258,10,2,1,19,46%,Flash,Teleport,Cosmic Drive,Sorcerer's Shoes,Blackfire Torch,Liandry's Torment,Needlessly Large Rod,Needlessly Large Rod,Farsight Alteration,5.5,8.11
Defeat,AR Ultra Rapid Fire,2025-02-18,00:16:13,Sylas,Jungle,130,12,8,3,7,63%,Flash,Ghost,Shadowflame,Stormsurge,Spellslinger's Shoes,Lich Bane,Needlessly Large Rod,Needlessly Large Rod,Farsight Alteration,1.88,8.02
Victory,Normal (Draft Pick),2025-02-18,00:30:39,Samira,Adc,232,16,7,4,23,33%,Flash,Barrier,Doran's Blade,The Collector,Armored Advance,Bloodthirster,Infinity Edge,Long Sword,Stealth Ward,2.86,7.57
Victory,AR Ultra Rapid Fire,2025-02-17,00:20:05,Galio,Top,108,10,8,8,13,38%,Flash,Ghost,Stormsurge,Rabadon's Deathcap,Sorcerer's Shoes,Shadowflame,Hollow Radiance,Fiendish Codex,Farsight Alteration,2.25,5.38
Victory,Normal (Draft Pick),2025-02-17,00:39:09,Aurelion Sol,Mid,313,12,5,15,19,69%,Flash,Teleport,Seraph's Embrace,Rylai's Crystal Scepter,Sorcerer's Shoes,Liandry's Torment,Rabadon's Deathcap,Blighting Jewel,Stealth Ward,5.4,7.99
Victory,Normal (Draft Pick),2025-02-17,00:22:28,Lux,Mid,145,10,2,0,12,30%,Flash,Teleport,Stormsurge,Malignance,Sorcerer's Shoes,Hextech Alternator,None,None,Stealth Ward,5.0,6.45
Victory,Normal (Draft Pick),2025-02-17,00:25:40,Mel,Mid,195,15,3,2,14,55%,Flash,Teleport,Shadowflame,Spellslinger's Shoes,Blackfire Torch,Liandry's Torment,Blighting Jewel,None,Stealth Ward,5.67,7.6
Defeat,Normal (Draft Pick),2025-02-17,00:34:26,Zoe,Support,43,8,13,9,63,40%,Flash,Ignite,Zaz'Zak's Realmspike,Luden's Companion,Spellslinger's Shoes,Stormsurge,Hextech Alternator,Needlessly Large Rod,Oracle Lens,1.31,1.25
Defeat,AR Ultra Rapid Fire,2025-02-16,00:21:22,Lux,Adc,130,4,11,9,4,62%,Flash,Ghost,Shadowflame,Horizon Focus,Stormsurge,Malignance,Sorcerer's Shoes,Oblivion Orb,Stealth Ward,1.18,6.08
Victory,AR Ultra Rapid Fire,2025-02-16,00:10:56,Smolder,Mid,100,7,3,8,10,50%,Flash,Ghost,Doran's Blade,Spear of Shojin,Trinity Force,Swiftmarch,Zeal,Scout's Slingshot,Stealth Ward,5.0,9.15
Defeat,AR Ultra Rapid Fire,2025-02-16,00:15:13,Lissandra,Top,121,5,11,6,6,52%,Flash,Ghost,Doran's Ring,Stormsurge,Luden's Companion,Shadowflame,Sorcerer's Shoes,Amplifying Tome,Oracle Lens,1.0,7.95
Defeat,AR Ultra Rapid Fire,2025-02-16,00:19:54,Sejuani,Jungle,152,4,9,6,22,29%,Flash,Ghost,Heartsteel,Unending Despair,Chainlaced Crushers,Hollow Radiance,Thornmail,None,Stealth Ward,1.11,7.64
Defeat,AR Ultra Rapid Fire,2025-02-16,00:12:10,Nami,Top,33,0,7,4,1,19%,Flash,Heal,Luden's Companion,Hextech Alternator,Sorcerer's Shoes,Aether Wisp,None,None,Stealth Ward,0.57,2.71
Defeat,Normal (Draft Pick),2025-02-16,00:38:18,Caitlyn,Adc,167,6,20,4,25,26%,Flash,Barrier,Infinity Edge,Yun Tal Wildarrows,Rapid Firecannon,Boots of Swiftness,Last Whisper,None,Stealth Ward,0.5,4.36
Defeat,ARAM,2025-02-16,00:18:45,Kennen,Support,34,11,11,30,0,66%,Flash,Mark,Zhonya's Hourglass,Hextech Rocketbelt,Stormsurge,Sorcerer's Shoes,Needlessly Large Rod,Needlessly Large Rod,None,3.73,1.81
Victory,AR Ultra Rapid Fire,2025-02-16,00:14:24,Ekko,Top,80,11,9,6,12,55%,Flash,Ghost,Doran's Ring,Health Potion,Stormsurge,Sorcerer's Shoes,Lich Bane,Needlessly Large Rod,Stealth Ward,1.89,5.56
Victory,AR Ultra Rapid Fire,2025-02-13,00:15:05,Kai'Sa,Adc,148,13,3,7,17,56%,Flash,Barrier,Blasting Wand,Statikk Shiv,Gunmetal Greaves,Kraken Slayer,Guinsoo's Rageblade,Fiendish Codex,Stealth Ward,6.67,9.81
Defeat,AR Ultra Rapid Fire,2025-02-12,00:13:38,Lucian,Jungle,91,4,5,6,8,37%,Flash,Ghost,Cloak of Agility,The Collector,B. F. Sword,Kraken Slayer,Berserker's Greaves,Pickaxe,Stealth Ward,2.0,6.67
